City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Ilinskiy,RU,2022-04-07 17:55:12,55.619,38.1182,48.58,93,0,8.99
241,Nome,US,2022-04-07 17:54:28,64.5011,-165.4064,-10.84,72,75,5.84
242,Burnie,AU,2022-04-07 17:55:12,-41.0667,145.9167,53.06,87,64,9.8
243,Matata,NZ,2022-04-07 17:55:13,-37.8833,176.75,47.59,75,0,6.15
244,Harlingen,US,2022-04-07 17:55:13,26.1906,-97.6961,78.89,24,34,18.03
245,Port Shepstone,ZA,2022-04-07 17:55:13,-30.7414,30.455,68.85,59,100,11.01
246,Zonguldak,TR,2022-04-07 17:55:14,41.25,31.8333,50.18,97,93,7.16
247,Iqaluit,CA,2022-04-07 17:52:22,63.7506,-68.5145,17.33,67,75,3.44
248,Niquelandia,BR,2022-04-07 17:54:51,-14.4739,-48.4597,87.55,43,23,6.42
249,Hohhot,CN,2022-04-07 17:55:14,40.8106,111.6522,37.69,41,0,6.71
250,Marsa Matruh,EG,2022-04-07 17:55:15,31.3525,27.2453,71.8,56,100,19.57
251,Alice Springs,AU,2022-04-07 17:55:15,-23.7,133.8833,56.75,51,0,0.0
252,Okhotsk,RU,2022-04-07 17:55:15,59.3833,143.3,16.95,88,100,9.13
253,Duns,GB,2022-04-07 17:55:16,55.777,-2.3457,42.96,77,100,10.94
254,Filadelfia,US,2022-04-07 17:55:16,39.9523,-75.1638,51.37,96,100,5.99
255,Aksarka,RU,2022-04-07 17:55:16,66.5606,67.7975,-1.91,98,100,5.26
256,Asau,RO,2022-04-07 17:55:17,46.4333,26.4,50.95,61,100,1.83
257,Mandera,KE,2022-04-07 17:55:17,3.9366,41.867,96.6,23,96,13.35
258,Talaya,RU,2022-04-07 17:55:17,61.3833,152.75,7.21,97,100,3.62
259,Shingu,JP,2022-04-07 17:55:18,33.7333,135.9833,52.34,80,0,6.8
260,Leh,IN,2022-04-07 17:55:18,34.1667,77.5833,29.17,48,8,6.24
261,Concepcion Del Oro,MX,2022-04-07 17:55:18,24.6333,-101.4167,69.6,21,52,5.75
262,Harper,LR,2022-04-07 17:55:19,4.375,-7.7169,83.03,74,99,7.74
263,High Prairie,CA,2022-04-07 17:55:19,55.4334,-116.4858,47.25,38,95,6.31
264,Wewak,PG,2022-04-07 17:55:20,-3.5534,143.6268,78.67,87,98,10.56
265,Moanda,GA,2022-04-07 17:55:20,-1.5575,13.2178,78.48,75,61,3.24
266,Tilichiki,RU,2022-04-07 17:51:32,60.4667,166.1,5.18,90,100,6.33
267,Kamaishi,JP,2022-04-07 17:51:45,39.2667,141.8833,41.16,89,81,5.7
268,Magadan,RU,2022-04-07 17:55:21,59.5667,150.8,21.0,95,100,8.68
269,Nikolskoye,RU,2022-04-07 17:55:21,59.7035,30.7861,40.8,99,100,8.9
270,Poyarkovo,RU,2022-04-07 17:55:22,49.6,128.6833,26.56,84,87,5.91
271,Merauke,ID,2022-04-07 17:51:06,-8.4667,140.3333,77.65,89,77,9.26
272,Flin Flon,CA,2022-04-07 17:52:15,54.7682,-101.865,37.24,60,0,5.75
273,Dakoro,NE,2022-04-07 17:55:22,14.5106,6.765,94.39,6,26,6.53
274,Toamasina,MG,2022-04-07 17:55:23,-18.1667,49.3833,77.32,89,10,4.85
275,Wajima,JP,2022-04-07 17:55:23,37.4,136.9,47.84,62,20,19.6
